"year","avg_temp","avg_max_temp","min_max_temp","max_max_temp","avg_min_temp","min_min_temp","max_min_temp","avg_feels_like","avg_max_feels_like","min_max_feels_like","max_max_feels_like","avg_min_feels_like","min_min_feels_like","max_min_feels_like","avg_humidity","avg_precipitation","avg_dew","avg_windspeed","avg_windgust"
2020,26.3688524590164,31.048360655737717,18.0,40.0,22.1885,10,30,31.258196721311496,39.63825136612024,18.0,61.2,24.0820,10,40,78.93387978142076,4.5464,22.042076502732225,16.76448087431694,28.842622950819692
2021,27.214520547945202,31.676712328767124,22.0,39.2,23.2219,11,29,31.565753424657526,38.38602739726023,22.0,53.6,25.0712,11,38,76.64191780821913,5.7425,22.263013698630136,16.603287671232877,28.65863013698633
2022,26.92109589041098,31.087123287671215,20.6,41.0,23.0904,12,29,30.772328767123273,36.7443835616438,20.6,51.0,24.6986,12,38,74.78356164383561,3.5370,21.71561643835618,19.55890410958905,30.720000000000017
2023,27.55232876712329,31.958630136986315,20.5,42.0,23.6822,12,31,31.569041095890437,37.850958904109525,20.5,56.5,25.4712,12,42,74.47205479452049,4.0082,22.13150684931507,17.504383561643845,29.111780821917815
2024,27.171584699453554,31.284426229508213,18.7,44.0,23.5683,10,32,31.687978142076506,37.57158469945354,18.7,56.6,25.8415,8,42,75.73770491803279,5.6475,22.074043715846972,17.615846994535517,28.708196721311474
2025,27.366831683168314,31.728217821782184,22.0,40.0,23.3416,12,30,31.17376237623764,36.8212871287129,22.0,52.5,24.9653,12,38,73.36633663366338,3.3515,21.66782178217823,18.627227722772293,29.08168316831684
