ds,avg_temp,avg_temp_lower,avg_temp_upper,min_temp,min_temp_lower,min_temp_upper,max_temp,max_temp_lower,max_temp_upper,precipitation,precipitation_lower,precipitation_upper,feels_like,feels_like_lower,feels_like_upper,max_feels_like,max_feels_like_lower,max_feels_like_upper,min_feels_like,min_feels_like_lower,min_feels_like_upper,humidity,humidity_lower,humidity_upper
2025-10-21,28.253996116260062,25.95763429648481,30.407691601826414,25.485572468075702,23.145999848071042,27.783029131665327,31.78246479198086,29.064412015304818,34.36583050927765,5.509342982086139,-11.480787426576844,22.11866611300333,31.399202308853823,27.317371855018788,35.04618054194484,36.873909269988296,31.728230338290167,41.83205238549349,26.129856073716887,21.703875384753893,30.62095957885297,79.25863505226263,68.9404006869851,88.81596371890926
2025-10-22,28.101745630023725,25.93051111446176,30.274861191343405,25.39596859249399,22.899190163009706,27.695244288979673,31.554011132638344,28.71914650788812,34.48711565329113,6.600905014042897,-10.242730617844835,22.88992981686291,30.89710394535844,26.849995322237024,35.1956861194223,36.230019786404135,30.833739517878332,41.11436249770814,25.812809579895745,21.486726822275347,30.26588043715893,79.2268377930653,69.71546359568303,88.95586375321255
2025-10-23,27.905621888239253,25.625285898289313,29.94297353455953,25.094492491287856,22.679083913771674,27.284706837429184,31.41794527901872,28.607276728796332,34.39942110683597,5.777257098533428,-11.338408323825675,23.923720653520352,30.426125160657264,26.559313029663265,34.410804752278366,35.723807174399845,30.4153647065888,40.53727439795826,25.371715576969265,20.71996110555505,29.571366211820987,78.93957867950328,69.94336305778754,88.45209460478983
2025-10-24,27.78298170025087,25.49374105276452,29.963801482320022,24.815063795504237,22.38475496237501,27.197729228797474,31.38410332372869,28.68366831544635,33.87401942009221,5.190195162568592,-11.421219943207804,22.04410267098356,30.10533062758224,25.913301095612113,33.956574836987315,35.405440141222975,30.253063673782922,40.306329201911815,24.910841282290676,20.164125242258635,28.96807226392709,77.84442215203508,68.2292595830206,87.45629777644413
2025-10-25,27.649767308622437,25.407078932482904,29.786055707975088,24.633363742995524,22.353464586426195,26.98651143953363,31.24114798432918,28.37356131805187,33.9159267254703,3.4299263033047667,-13.642636866697101,20.255770740895752,29.8608476229059,25.736673655094492,33.728203227394104,35.00540380419531,29.77218675451794,39.95038083566884,24.72804691196067,20.36244156820044,29.496652159777735,77.29682958810633,68.46164144431884,87.40913529740091
2025-10-26,27.499802728888966,25.39044137360924,29.631690588484545,24.40404761989487,21.892431806849483,26.825214510196403,31.20694635018075,28.347310567904746,33.93898589726526,2.9237337269828974,-13.919404092151343,20.0445693481714,29.390322377926733,25.240637808878677,33.413465305195764,34.374737037546936,29.341097399634172,39.12438465649847,24.458238249554753,19.923483683604662,28.680716438499523,76.76136746592609,67.26109929385005,86.23367648650998
2025-10-27,27.337507963707594,25.26765846995377,29.483152736342728,24.098300926568236,21.771912006801916,26.66145566581453,31.016481924418038,28.2223572262286,33.82328939199666,4.442662034519623,-14.218043187100385,21.286614458184676,28.907311118721015,24.448224512723787,32.81620330830966,33.73589859195389,29.0903399661079,38.586802473898324,23.929182030729002,19.513905754543195,28.65076278064131,76.11479078679103,66.48393274090512,85.27005377077015
2025-10-28,27.220047476204687,24.99216071219848,29.51318887844387,24.044557805051227,21.720700871589298,26.588471608208263,30.91147873811804,28.047557381767508,33.675321733456066,3.4187834361250973,-13.78274374853984,21.336382622198325,28.535433300693025,24.383383364261874,32.71316759560437,33.318606718518424,28.120449661029735,38.17283614105426,23.682334160923553,19.342837794118523,28.2724820648226,76.06626164354978,66.94574478989139,85.54657130094175
2025-10-29,27.06513184220421,24.81189776232138,29.236114907991293,23.935178937046583,21.618952032998873,26.09182133662193,30.69394311473305,27.924988570916838,33.645855926336466,4.4504936472627845,-12.906236341205911,21.22240180552275,28.093287078987633,23.93788782735822,32.05751749179722,32.7315782994125,27.811599235172746,37.76753321048044,23.4191372132471,19.123953610222912,28.096880804452795,75.8503699342318,65.98122471509794,84.82876910229757
2025-10-30,26.872789079981583,24.671088111865075,29.041648445664467,23.621914902137892,21.47280701208792,26.03230247282287,30.57656144076595,27.987918497889577,33.2094805686135,3.582626515986642,-13.755424589894137,21.093002184961914,27.701529219593947,23.54852736802445,31.72188567464797,32.3081234724102,27.097859837090727,37.444883687305264,23.049297027836282,18.49924631053435,27.29335840908349,75.38609410640609,65.52941541088303,84.78856664103326
